Experiment started: 2025-03-26 17:56:48
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

Parameter;Value;RunNumber;Length;ComputationTime(s)
ALPHA;0,0010;1;11274,00;4,985
ALPHA;0,0010;2;11514,00;4,992

=== New Experiment ===
Started: 2025-03-26 17:58:30
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

BETA;3,0000;2;11319,00;6,935
BETA;3,0000;3;11243,00;6,894
BETA;3,0000;4;11319,00;6,893
BETA;3,0000;5;11573,00;7,129
BETA;3,0000;6;11319,00;6,854
BETA;3,0000;7;11514,00;6,949
BETA;3,0000;8;11458,00;6,918
BETA;3,0000;9;11481,00;6,966
BETA;3,0000;10;11311,00;6,874
BETA;4,0000;1;11597,00;7,095
BETA;4,0000;2;11574,00;7,097
BETA;4,0000;3;11756,00;8,857
BETA;4,0000;4;11674,00;7,068
BETA;4,0000;5;11514,00;6,804
BETA;4,0000;6;11319,00;6,789
BETA;4,0000;7;11597,00;6,725
BETA;4,0000;8;11411,00;6,962
BETA;4,0000;9;11481,00;6,914
BETA;4,0000;10;11274,00;6,776
BETA;5,0000;1;11319,00;6,891
BETA;5,0000;2;11477,00;6,885
BETA;5,0000;3;11319,00;6,760
BETA;5,0000;4;11627,00;6,870
BETA;5,0000;5;11386,00;6,732
BETA;5,0000;6;11319,00;6,801
BETA;5,0000;7;11303,00;6,923
BETA;5,0000;8;11319,00;6,830
BETA;5,0000;9;11319,00;7,046
BETA;5,0000;10;11319,00;7,477
P_0;0,0100;1;11281,00;8,123
P_0;0,0100;2;11894,00;6,622
P_0;0,0100;3;12045,00;6,422
P_0;0,0100;4;12045,00;6,818
P_0;0,0100;5;11894,00;6,415
P_0;0,0100;6;11894,00;6,396
P_0;0,0100;7;12055,00;6,504
P_0;0,0100;8;12045,00;6,638
P_0;0,0100;9;11894,00;6,537
P_0;0,0100;10;11894,00;6,467
P_0;0,0250;1;11894,00;6,513
P_0;0,0250;2;11514,00;6,641
P_0;0,0250;3;11627,00;6,717
P_0;0,0250;4;11894,00;6,977
P_0;0,0250;5;11627,00;6,707
P_0;0,0250;6;11319,00;6,558
P_0;0,0250;7;11514,00;6,584
P_0;0,0250;8;11894,00;6,788
P_0;0,0250;9;11894,00;6,743
P_0;0,0250;10;11894,00;6,730
P_0;0,0500;1;11514,00;6,847
P_0;0,0500;2;11303,00;6,623
P_0;0,0500;3;11274,00;6,739
P_0;0,0500;4;11319,00;7,732
P_0;0,0500;5;11514,00;7,344
P_0;0,0500;6;11386,00;7,319
P_0;0,0500;7;11894,00;7,321
P_0;0,0500;8;11467,00;7,831
P_0;0,0500;9;11894,00;7,740
P_0;0,0500;10;11526,00;6,932
P_0;0,1000;1;11303,00;7,085
P_0;0,1000;2;11274,00;6,952
P_0;0,1000;3;11481,00;6,937
P_0;0,1000;4;11485,00;8,042
P_0;0,1000;5;11485,00;7,923
P_0;0,1000;6;11597,00;7,311
P_0;0,1000;7;11319,00;8,731
P_0;0,1000;8;11361,00;7,178
P_0;0,1000;9;11493,00;8,105
P_0;0,1000;10;11319,00;8,468
P_0;0,2000;1;11514,00;8,495
P_0;0,2000;2;12002,00;9,572
P_0;0,2000;3;11894,00;9,394
P_0;0,2000;4;11485,00;8,340
P_0;0,2000;5;11485,00;7,024
P_0;0,2000;6;12077,00;7,126
P_0;0,2000;7;11894,00;7,221
P_0;0,2000;8;11047,00;7,126
P_0;0,2000;9;11894,00;7,103
P_0;0,2000;10;11784,00;7,079
P_0;0,3000;1;11756,00;8,032
P_0;0,3000;2;12531,00;7,204
P_0;0,3000;3;12279,00;7,165
P_0;0,3000;4;11475,00;7,242
P_0;0,3000;5;11605,00;7,143
P_0;0,3000;6;12774,00;7,285
P_0;0,3000;7;12446,00;6,724
P_0;0,3000;8;12323,00;6,755
P_0;0,3000;9;11637,00;8,287
P_0;0,3000;10;12023,00;8,888
NUM_ANTS;20;1;11319,00;7,814
NUM_ANTS;20;2;11485,00;1,388
NUM_ANTS;20;3;11894,00;1,394
NUM_ANTS;20;4;12045,00;1,812
NUM_ANTS;20;5;11514,00;1,254
NUM_ANTS;20;6;11861,00;1,305
NUM_ANTS;20;7;11866,00;1,565
NUM_ANTS;20;8;11526,00;2,436
NUM_ANTS;20;9;11894,00;2,054
NUM_ANTS;20;10;11894,00;2,190
NUM_ANTS;30;1;11597,00;1,580
NUM_ANTS;30;2;11411,00;2,219
NUM_ANTS;30;3;11274,00;2,166
NUM_ANTS;30;4;12042,00;2,104
NUM_ANTS;30;5;11756,00;2,757
NUM_ANTS;30;6;11514,00;2,267
NUM_ANTS;30;7;11306,00;2,166
NUM_ANTS;30;8;11530,00;2,076
NUM_ANTS;30;9;11481,00;2,222
NUM_ANTS;30;10;11485,00;2,371
NUM_ANTS;40;1;12045,00;2,212
NUM_ANTS;40;2;10807,00;2,845
NUM_ANTS;40;3;11481,00;2,921
NUM_ANTS;40;4;11861,00;2,826
NUM_ANTS;40;5;11485,00;2,959
NUM_ANTS;40;6;11627,00;2,919
NUM_ANTS;40;7;11737,00;2,831
NUM_ANTS;40;8;11485,00;2,886
NUM_ANTS;40;9;11481,00;3,181
NUM_ANTS;40;10;11319,00;4,048
NUM_ANTS;50;1;11597,00;4,116
NUM_ANTS;50;2;11894,00;4,465
NUM_ANTS;50;3;11319,00;4,548
NUM_ANTS;50;4;11861,00;3,413
NUM_ANTS;50;5;11732,00;3,525
NUM_ANTS;50;6;11861,00;3,757
NUM_ANTS;50;7;11597,00;3,463
NUM_ANTS;50;8;11894,00;3,632
NUM_ANTS;50;9;11481,00;3,632
NUM_ANTS;50;10;11485,00;3,410
NUM_ANTS;75;1;11319,00;3,388
NUM_ANTS;75;2;11319,00;7,506
NUM_ANTS;75;3;11622,00;5,256
NUM_ANTS;75;4;11894,00;5,350
NUM_ANTS;75;5;11439,00;5,370
NUM_ANTS;75;6;11514,00;6,084
NUM_ANTS;75;7;11597,00;6,048
NUM_ANTS;75;8;11514,00;5,502
NUM_ANTS;75;9;11485,00;5,423
NUM_ANTS;75;10;11456,00;5,395
NUM_ANTS;100;1;11481,00;8,027
NUM_ANTS;100;2;11319,00;9,914
NUM_ANTS;100;3;11514,00;8,609
NUM_ANTS;100;4;11488,00;7,061
NUM_ANTS;100;5;11319,00;7,238
NUM_ANTS;100;6;11311,00;6,951
NUM_ANTS;100;7;11481,00;7,014
NUM_ANTS;100;8;11622,00;7,139
NUM_ANTS;100;9;11514,00;7,719
NUM_ANTS;100;10;11597,00;8,010
Q;10,0000;1;11319,00;6,979
Q;10,0000;2;11319,00;7,218
Q;10,0000;3;11894,00;6,881
Q;10,0000;4;11353,00;8,079
Q;10,0000;5;11319,00;12,412
Q;10,0000;6;11485,00;15,498
Q;10,0000;7;11481,00;9,108
Q;10,0000;8;11481,00;6,921
Q;10,0000;9;11481,00;6,901
Q;10,0000;10;11622,00;7,058
Q;50,0000;1;11319,00;6,834
Q;50,0000;2;11426,00;7,021
Q;50,0000;3;11481,00;6,844
Q;50,0000;4;11597,00;6,734
Q;50,0000;5;11454,00;6,902
Q;50,0000;6;11003,00;6,797
Q;50,0000;7;11597,00;6,993
Q;50,0000;8;11319,00;6,961
Q;50,0000;9;11357,00;6,824
Q;50,0000;10;11359,00;6,883
Q;100,0000;1;11894,00;7,052
Q;100,0000;2;11281,00;6,741
Q;100,0000;3;11526,00;6,884
Q;100,0000;4;11514,00;6,848
Q;100,0000;5;11651,00;6,750
Q;100,0000;6;11627,00;6,899
Q;100,0000;7;11319,00;6,808
Q;100,0000;8;11597,00;6,884
Q;100,0000;9;11485,00;6,920
Q;100,0000;10;11873,00;6,991
Q;500,0000;1;11319,00;6,924
Q;500,0000;2;11574,00;6,805
Q;500,0000;3;11806,00;6,802
Q;500,0000;4;11319,00;6,919
Q;500,0000;5;10892,00;6,779
Q;500,0000;6;11319,00;7,689
Q;500,0000;7;11066,00;6,863
Q;500,0000;8;11281,00;6,976
Q;500,0000;9;11481,00;6,814
Q;500,0000;10;11481,00;6,768
Q;750,0000;1;11444,00;6,928
Q;750,0000;2;11485,00;6,833
Q;750,0000;3;11076,00;6,780
Q;750,0000;4;11319,00;6,656
Q;750,0000;5;11319,00;7,015
Q;750,0000;6;11514,00;6,851
Q;750,0000;7;11481,00;6,980
Q;750,0000;8;11871,00;6,781
Q;750,0000;9;11514,00;6,834
Q;750,0000;10;11514,00;6,918
Q;1000,0000;1;11485,00;6,780
Q;1000,0000;2;11516,00;6,771
Q;1000,0000;3;11481,00;6,870
Q;1000,0000;4;11467,00;6,691
Q;1000,0000;5;11281,00;6,778
Q;1000,0000;6;11627,00;7,023
Q;1000,0000;7;11485,00;7,085
Q;1000,0000;8;11120,00;6,775
Q;1000,0000;9;11173,00;6,772
Q;1000,0000;10;11796,00;7,077
RHO;0,1000;1;11096,00;6,975
RHO;0,1000;2;11485,00;6,738
RHO;0,1000;3;11861,00;6,823
RHO;0,1000;4;11319,00;7,202
RHO;0,1000;5;11514,00;7,760
RHO;0,1000;6;11481,00;6,929
RHO;0,1000;7;11481,00;6,919
RHO;0,1000;8;11281,00;6,939
RHO;0,1000;9;11319,00;6,811
RHO;0,1000;10;11733,00;6,793
RHO;0,3000;1;11274,00;7,069
RHO;0,3000;2;11319,00;6,812
RHO;0,3000;3;11481,00;7,005
RHO;0,3000;4;11481,00;6,718
RHO;0,3000;5;11861,00;6,755
RHO;0,3000;6;11514,00;6,985
RHO;0,3000;7;11481,00;6,724
RHO;0,3000;8;11380,00;6,717
RHO;0,3000;9;11481,00;6,914
RHO;0,3000;10;11526,00;6,878
RHO;0,5000;1;11514,00;6,837
RHO;0,5000;2;11319,00;7,131
RHO;0,5000;3;11485,00;6,804
RHO;0,5000;4;11441,00;6,887
RHO;0,5000;5;11481,00;6,997
RHO;0,5000;6;11622,00;6,886
RHO;0,5000;7;11894,00;6,929
RHO;0,5000;8;11526,00;6,948
RHO;0,5000;9;11651,00;6,847
RHO;0,5000;10;11557,00;7,089
RHO;0,7000;1;11514,00;6,903
RHO;0,7000;2;11512,00;6,804
RHO;0,7000;3;11514,00;6,821
RHO;0,7000;4;11526,00;6,829
RHO;0,7000;5;11481,00;6,905
RHO;0,7000;6;11744,00;6,801
RHO;0,7000;7;11526,00;6,863
RHO;0,7000;8;11481,00;6,806
RHO;0,7000;9;11319,00;6,910
RHO;0,7000;10;11514,00;6,934
RHO;0,8000;1;11481,00;7,110
RHO;0,8000;2;11485,00;6,819
RHO;0,8000;3;11597,00;6,825
RHO;0,8000;4;11481,00;6,763
RHO;0,8000;5;11597,00;6,760
RHO;0,8000;6;11389,00;6,867
RHO;0,8000;7;11481,00;6,859
RHO;0,8000;8;11485,00;6,923
RHO;0,8000;9;11861,00;6,676
RHO;0,8000;10;11622,00;6,730
RHO;0,8500;1;11724,00;6,813
RHO;0,8500;2;11274,00;6,809
RHO;0,8500;3;11319,00;7,016
RHO;0,8500;4;11514,00;6,997
RHO;0,8500;5;11485,00;7,074
RHO;0,8500;6;11485,00;6,977
RHO;0,8500;7;10957,00;7,013
RHO;0,8500;8;11526,00;6,861
RHO;0,8500;9;11485,00;6,846
RHO;0,8500;10;11481,00;6,946
RHO;0,9000;1;11329,00;7,301
RHO;0,9000;2;11514,00;6,825
RHO;0,9000;3;11894,00;6,778
RHO;0,9000;4;11481,00;7,058
RHO;0,9000;5;11481,00;7,170
RHO;0,9000;6;11311,00;6,911
RHO;0,9000;7;11399,00;6,885
RHO;0,9000;8;11319,00;6,823
RHO;0,9000;9;11597,00;6,802
RHO;0,9000;10;11406,00;6,714
TAU_0;0,0000;1;11336,00;6,830
TAU_0;0,0000;2;11481,00;6,800
TAU_0;0,0000;3;11485,00;6,730
TAU_0;0,0000;4;11406,00;6,835
TAU_0;0,0000;5;11319,00;7,000
TAU_0;0,0000;6;11514,00;6,708
TAU_0;0,0000;7;11319,00;6,839
TAU_0;0,0000;8;11485,00;6,814
TAU_0;0,0000;9;11481,00;6,744
TAU_0;0,0000;10;11481,00;6,853
TAU_0;0,0001;1;11274,00;6,750
TAU_0;0,0001;2;11481,00;6,758
TAU_0;0,0001;3;11514,00;8,764
TAU_0;0,0001;4;11319,00;7,048
TAU_0;0,0001;5;11597,00;6,897
TAU_0;0,0001;6;11481,00;6,928
TAU_0;0,0001;7;11514,00;6,790
TAU_0;0,0001;8;11485,00;6,747
TAU_0;0,0001;9;11076,00;6,798
TAU_0;0,0001;10;11597,00;6,752
TAU_0;0,0010;1;11274,00;6,779
TAU_0;0,0010;2;11597,00;6,642
TAU_0;0,0010;3;11319,00;6,818
TAU_0;0,0010;4;11526,00;6,588
TAU_0;0,0010;5;11514,00;6,675
TAU_0;0,0010;6;11319,00;6,843
TAU_0;0,0010;7;11715,00;6,811
TAU_0;0,0010;8;11481,00;6,872
TAU_0;0,0010;9;11311,00;6,923
TAU_0;0,0010;10;11319,00;6,913
TAU_0;0,0100;1;11733,00;6,745
TAU_0;0,0100;2;11319,00;6,958
TAU_0;0,0100;3;11136,00;7,558
TAU_0;0,0100;4;11319,00;7,080
TAU_0;0,0100;5;11481,00;6,776
TAU_0;0,0100;6;11319,00;6,880
TAU_0;0,0100;7;11485,00;6,841
TAU_0;0,0100;8;11597,00;6,735
TAU_0;0,0100;9;11622,00;7,031
TAU_0;0,0100;10;11274,00;6,727
TAU_0;0,1000;1;11485,00;6,769
TAU_0;0,1000;2;11526,00;7,006
TAU_0;0,1000;3;11319,00;7,292
TAU_0;0,1000;4;11485,00;6,931
TAU_0;0,1000;5;11514,00;7,690
TAU_0;0,1000;6;11481,00;6,841
TAU_0;0,1000;7;11076,00;6,983
TAU_0;0,1000;8;11526,00;6,759
TAU_0;0,1000;9;11319,00;7,028
TAU_0;0,1000;10;11869,00;7,075
TAU_0;0,5000;1;11853,00;7,298
TAU_0;0,5000;2;10922,00;7,147
TAU_0;0,5000;3;11526,00;6,659
TAU_0;0,5000;4;11574,00;6,848
TAU_0;0,5000;5;11481,00;6,793
TAU_0;0,5000;6;11796,00;6,948
TAU_0;0,5000;7;11319,00;6,800
TAU_0;0,5000;8;11319,00;6,648
TAU_0;0,5000;9;11450,00;8,846
TAU_0;0,5000;10;11272,00;7,237
TAU_0;1,0000;1;11573,00;8,042
TAU_0;1,0000;2;11796,00;7,561
TAU_0;1,0000;3;11597,00;7,193
TAU_0;1,0000;4;11597,00;7,041
TAU_0;1,0000;5;11485,00;7,106
TAU_0;1,0000;6;11622,00;6,950
TAU_0;1,0000;7;11319,00;7,028
TAU_0;1,0000;8;11481,00;6,731
TAU_0;1,0000;9;11319,00;7,823
TAU_0;1,0000;10;11319,00;7,061
MAX_ITERATIONS;500;1;11243,00;7,128
MAX_ITERATIONS;500;2;11243,00;3,665
MAX_ITERATIONS;500;3;11481,00;3,644
MAX_ITERATIONS;500;4;11466,00;3,370
MAX_ITERATIONS;500;5;11622,00;3,467
MAX_ITERATIONS;500;6;11481,00;3,463
MAX_ITERATIONS;500;7;11526,00;3,470
MAX_ITERATIONS;500;8;11530,00;3,409
MAX_ITERATIONS;500;9;11526,00;3,515
MAX_ITERATIONS;500;10;11481,00;3,931
MAX_ITERATIONS;750;1;11560,00;3,340
MAX_ITERATIONS;750;2;11796,00;5,121
MAX_ITERATIONS;750;3;11319,00;5,104
MAX_ITERATIONS;750;4;11319,00;5,152
MAX_ITERATIONS;750;5;11529,00;5,054
MAX_ITERATIONS;750;6;11481,00;5,088
MAX_ITERATIONS;750;7;11622,00;5,297
MAX_ITERATIONS;750;8;11481,00;5,266
MAX_ITERATIONS;750;9;11597,00;5,237
MAX_ITERATIONS;750;10;11894,00;6,210
MAX_ITERATIONS;1000;1;11319,00;7,065
MAX_ITERATIONS;1000;2;11076,00;8,333
MAX_ITERATIONS;1000;3;11526,00;8,321
MAX_ITERATIONS;1000;4;11481,00;10,209
MAX_ITERATIONS;1000;5;11361,00;10,174
MAX_ITERATIONS;1000;6;11380,00;12,265
MAX_ITERATIONS;1000;7;11485,00;13,063
MAX_ITERATIONS;1000;8;11319,00;10,876
MAX_ITERATIONS;1000;9;11485,00;11,157
MAX_ITERATIONS;1000;10;11894,00;10,847
MAX_ITERATIONS;1500;1;11481,00;11,910
MAX_ITERATIONS;1500;2;11281,00;16,482
MAX_ITERATIONS;1500;3;11319,00;16,659
MAX_ITERATIONS;1500;4;11481,00;12,323
MAX_ITERATIONS;1500;5;11426,00;9,493
MAX_ITERATIONS;1500;6;10878,00;9,264
MAX_ITERATIONS;1500;7;11319,00;8,999
MAX_ITERATIONS;1500;8;11556,00;8,890
MAX_ITERATIONS;1500;9;11481,00;9,070
MAX_ITERATIONS;1500;10;11477,00;8,958
MAX_ITERATIONS;2000;1;11243,00;9,033
MAX_ITERATIONS;2000;2;11319,00;11,998
MAX_ITERATIONS;2000;3;11076,00;12,675
MAX_ITERATIONS;2000;4;11481,00;12,086
MAX_ITERATIONS;2000;5;11319,00;11,815
MAX_ITERATIONS;2000;6;11319,00;15,020
MAX_ITERATIONS;2000;7;11481,00;16,116
MAX_ITERATIONS;2000;8;11514,00;11,974
MAX_ITERATIONS;2000;9;11243,00;11,967
MAX_ITERATIONS;2000;10;11485,00;11,813
MAX_ITERATIONS;3000;1;11319,00;11,880
MAX_ITERATIONS;3000;2;11568,00;17,523
MAX_ITERATIONS;3000;3;11226,00;17,818
MAX_ITERATIONS;3000;4;11319,00;17,875
MAX_ITERATIONS;3000;5;11319,00;17,796
MAX_ITERATIONS;3000;6;11311,00;17,619
MAX_ITERATIONS;3000;7;11319,00;17,596
MAX_ITERATIONS;3000;8;11481,00;18,633
MAX_ITERATIONS;3000;9;11319,00;17,526
MAX_ITERATIONS;3000;10;11447,00;17,719
