Experiment started: 2025-03-26 17:56:48
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

Parameter;Value;BestLength;WorstLength;AverageLength;ValidRuns;ComputationTime

=== New Experiment ===
Started: 2025-03-26 17:58:30
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000
TAU_0;0,0010;11274,00;11715,00;11437,50;10;6786,52
TAU_0;0,0100;11136,00;11733,00;11428,50;10;6933,37
TAU_0;0,1000;11076,00;11869,00;11460,00;10;7037,21
TAU_0;0,5000;10922,00;11853,00;11451,20;10;7122,59
TAU_0;1,0000;11319,00;11796,00;11510,80;10;7253,52
MAX_ITERATIONS;500;11243,00;11622,00;11459,90;10;3906,31
MAX_ITERATIONS;750;11319,00;11894,00;11559,80;10;5086,93
MAX_ITERATIONS;1000;11076,00;11894,00;11432,60;10;10230,95
MAX_ITERATIONS;1500;10878,00;11556,00;11369,90;10;11204,80
MAX_ITERATIONS;2000;11076,00;11514,00;11348,00;10;12449,74
MAX_ITERATIONS;3000;11226,00;11568,00;11362,80;10;17198,52

=== Best Configuration Found ===
ALPHA=0,0010;BETA=1,0000;RHO=0,8500;Q=500,00;
TAU_0=0,0100;P_0=0,1000;NUM_ANTS=100;MAX_ITERATIONS=2000

