=== Tuning Experiment 1 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-27 23:05:27;;;;;;;
Initial parameters:;;;;;;;
ALPHA=1,5000;BETA=1,0000;RHO=0,8000;Q=250,00;TAU_0=0,0010;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500
TAU_0;0,0010;11986,00;14090,00;12843,70;10;6793,06
TAU_0;0,0100;11577,00;13268,00;12583,00;10;6895,35
TAU_0;0,1000;11905,00;13689,00;12880,70;10;6801,28
TAU_0;0,2500;12295,00;13752,00;12936,90;10;6823,83
TAU_0;0,5000;10980,00;13564,00;12464,70;10;6862,36
TAU_0;0,7500;11364,00;13724,00;12807,60;10;6873,41
TAU_0;1,0000;11743,00;13600,00;12886,70;10;6887,77
MAX_ITERATIONS;500;10648,00;14081,00;13252,00;10;1755,87
MAX_ITERATIONS;750;11852,00;13917,00;13043,40;10;1657,02
MAX_ITERATIONS;1000;11557,00;14098,00;12774,10;10;2226,81
MAX_ITERATIONS;1500;11616,00;14003,00;12859,60;10;3398,84
MAX_ITERATIONS;2000;11621,00;13900,00;12930,80;10;4566,67
MAX_ITERATIONS;3000;11175,00;13431,00;12585,10;10;6641,10

=== Best Configuration Found ===
ALPHA=0,7000;BETA=0,7500;RHO=0,5000;Q=1500,00;
TAU_0=0,5000;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=3000


=== Tuning Experiment 1 ===

=== New Experiment ===
Started: 2025-03-30 09:58:34
Initial parameters:
ALPHA=0,5000;BETA=10,0000;RHO=0,5000;Q=100,00;TAU_0=0,0100;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=1500

ALPHA;0,0010;12097,00;14052,00;13244,00;10;3464,12
ALPHA;0,0100;12356,00;14215,00;13485,10;10;3597,50
ALPHA;0,1000;11482,00;13595,00;12343,90;10;3436,27
ALPHA;0,3000;12102,00;14098,00;13275,90;10;3600,38
ALPHA;0,5000;11892,00;14267,00;13025,50;10;3214,06
ALPHA;0,7000;11766,00;14111,00;12879,50;10;3425,31
ALPHA;1,0000;12001,00;13722,00;12869,20;10;3654,79
ALPHA;1,5000;11518,00;13999,00;12856,60;10;3572,07
BETA;0,5000;11783,00;13647,00;12641,50;10;3256,81
BETA;0,7500;11036,00;13818,00;12684,20;10;3491,07
BETA;1,0000;12073,00;14003,00;12943,20;10;3439,94
BETA;1,5000;12056,00;13814,00;13056,70;10;3511,79
BETA;2,0000;11073,00;13497,00;12470,00;10;3176,05
BETA;3,0000;11617,00;13579,00;12817,90;10;3505,14
BETA;4,0000;11260,00;13417,00;12479,50;10;3387,18
BETA;5,0000;10846,00;13434,00;12789,50;10;3399,11
BETA;10,0000;12155,00;13391,00;12825,90;10;3449,70
P_0;0,0100;12042,00;14533,00;12874,90;10;3002,37
P_0;0,0250;11596,00;13960,00;13064,90;10;3085,75
P_0;0,0500;11731,00;14097,00;12766,00;10;3205,31
P_0;0,1000;11849,00;13414,00;12701,80;10;3159,05
P_0;0,2000;11185,00;14388,00;12837,10;10;3355,29
P_0;0,3000;12469,00;15172,00;13596,60;10;3247,69
NUM_ANTS;30;11401,00;14229,00;12945,80;10;2513,43
NUM_ANTS;40;11360,00;14285,00;13090,90;10;3072,99
NUM_ANTS;50;11273,00;14462,00;13069,70;10;3933,38
NUM_ANTS;75;11259,00;13863,00;12999,60;10;5785,92
NUM_ANTS;100;11116,00;13788,00;12568,50;10;7470,99
NUM_ANTS;150;12188,00;13570,00;12815,40;10;11096,50
Q;10,0000;12200,00;13729,00;13044,50;10;7862,41
Q;50,0000;11736,00;13443,00;12887,10;10;7800,54
Q;100,0000;11025,00;13531,00;12580,50;10;7808,70
Q;250,0000;11481,00;13194,00;12633,40;10;7902,89
Q;500,0000;12111,00;13875,00;12671,50;10;7753,68
Q;750,0000;11879,00;13798,00;12721,30;10;7804,20
Q;1000,0000;11550,00;13703,00;12782,00;10;7750,63
Q;1500,0000;11172,00;13828,00;12858,40;10;7709,71
RHO;0,1000;12354,00;13931,00;13106,50;10;7645,06
RHO;0,3000;11236,00;13812,00;12676,40;10;7702,82
RHO;0,5000;11175,00;13791,00;12611,60;10;7741,46
RHO;0,6000;11433,00;13431,00;12771,10;10;7899,23
RHO;0,7000;10985,00;13581,00;12619,60;10;7794,34
RHO;0,7500;11211,00;12821,00;12199,10;10;7809,63
RHO;0,8000;11941,00;13571,00;12894,40;10;7892,91
RHO;0,8500;12171,00;13897,00;12746,50;10;7670,67
RHO;0,9000;11056,00;14101,00;12491,90;10;7640,87
TAU_0;0,0010;11177,00;13798,00;12862,90;10;8178,63
TAU_0;0,0100;12238,00;13616,00;12834,10;10;7746,16
TAU_0;0,1000;10926,00;13676,00;12627,00;10;7704,08
TAU_0;0,2500;11236,00;13362,00;12750,60;10;7823,90
TAU_0;0,5000;11826,00;13798,00;12969,20;10;7791,28
TAU_0;0,7500;11188,00;13431,00;12564,30;10;7710,90
TAU_0;1,0000;12272,00;14011,00;13085,20;10;7831,77
MAX_ITERATIONS;500;11397,00;14090,00;13097,30;10;3275,04
MAX_ITERATIONS;750;11374,00;13775,00;13213,30;10;3832,96
MAX_ITERATIONS;1000;12582,00;13590,00;13154,10;10;5088,30
MAX_ITERATIONS;1500;11089,00;13763,00;12631,60;10;7465,87
MAX_ITERATIONS;2000;11747,00;13790,00;12824,50;10;10033,71
MAX_ITERATIONS;3000;10220,00;13432,00;12478,50;10;14803,92

=== Best Configuration Found ===
ALPHA=0,1000;BETA=2,0000;RHO=0,7500;Q=100,00;
TAU_0=0,7500;P_0=0,1000;NUM_ANTS=100;MAX_ITERATIONS=3000


=== Tuning Experiment 2 ===

=== New Experiment ===
Started: 2025-03-30 11:08:14
Initial parameters:
ALPHA=0,1000;BETA=2,0000;RHO=0,7500;Q=100,00;TAU_0=0,7500;P_0=0,1000;NUM_ANTS=100;MAX_ITERATIONS=3000

ALPHA;0,0010;10767,00;13702,00;12390,80;10;15397,67
ALPHA;0,0100;11755,00;13537,00;12413,50;10;15200,11
ALPHA;0,1000;12001,00;13301,00;12841,00;10;15022,38
ALPHA;0,3000;11289,00;13733,00;12944,50;10;14945,34
ALPHA;0,5000;12020,00;13794,00;12988,80;10;14219,01
ALPHA;0,7000;11596,00;13443,00;12874,80;10;15773,39
ALPHA;1,0000;11177,00;13427,00;12640,10;10;17115,72
ALPHA;1,5000;11846,00;13685,00;12647,90;10;21793,76
BETA;0,5000;11581,00;13431,00;12727,90;10;20021,43
BETA;0,7500;11651,00;13649,00;12813,80;10;24161,27
BETA;1,0000;11179,00;13743,00;12318,80;10;23325,43
BETA;1,5000;11420,00;13772,00;12777,30;10;24476,15
BETA;2,0000;11665,00;13216,00;12677,90;10;24332,10
BETA;3,0000;11788,00;13603,00;12559,50;10;22522,68
BETA;4,0000;12132,00;13858,00;12990,30;10;22886,11
BETA;5,0000;11494,00;13750,00;12612,60;10;93045,74
BETA;10,0000;11893,00;13676,00;12652,10;10;15714,42
P_0;0,0100;12068,00;14452,00;12930,60;10;15117,63
P_0;0,0250;12290,00;13579,00;12842,10;10;19392,18
P_0;0,0500;11364,00;13942,00;12353,60;10;17952,34
P_0;0,1000;11404,00;13901,00;12354,50;10;18123,86
P_0;0,2000;11569,00;14407,00;12894,10;10;20507,50
P_0;0,3000;12336,00;14823,00;13801,60;10;22201,71
NUM_ANTS;30;11826,00;14079,00;12643,60;10;7893,75
NUM_ANTS;40;11691,00;13798,00;12775,60;10;8621,90
NUM_ANTS;50;11418,00;13942,00;12724,90;10;9543,51
NUM_ANTS;75;11744,00;13798,00;12563,80;10;13368,91
NUM_ANTS;100;11788,00;13798,00;12838,20;10;17903,89
NUM_ANTS;150;11043,00;13146,00;12287,00;10;25964,86
Q;10,0000;11043,00;13407,00;12448,20;10;26444,65
Q;50,0000;11651,00;13537,00;12555,90;10;26456,65
Q;100,0000;11539,00;13431,00;12266,70;10;26415,45
Q;250,0000;11388,00;13537,00;12508,40;10;26428,54
Q;500,0000;11731,00;13595,00;12420,40;10;26415,84
Q;750,0000;11560,00;13427,00;12883,30;10;26357,57
Q;1000,0000;11907,00;13382,00;12583,80;10;26383,96
Q;1500,0000;11498,00;12936,00;12113,00;10;27874,83
RHO;0,1000;11492,00;13656,00;12414,80;10;28246,60
RHO;0,3000;11301,00;13409,00;12375,00;10;28032,84
RHO;0,5000;11878,00;13301,00;12657,40;10;28074,58
RHO;0,6000;11596,00;13606,00;12744,00;10;28394,23
RHO;0,7000;11557,00;13762,00;12563,00;10;28193,35
RHO;0,7500;12228,00;13410,00;12817,70;10;27995,54
RHO;0,8000;11788,00;13047,00;12549,70;10;29913,75
RHO;0,8500;11126,00;13427,00;12493,20;10;35354,34
RHO;0,9000;11691,00;13504,00;12536,50;10;36996,85
TAU_0;0,0010;11593,00;13482,00;12591,70;10;43023,71
TAU_0;0,0100;11175,00;13427,00;12332,90;10;28881,78
TAU_0;0,1000;11605,00;13327,00;12378,60;10;24465,86
TAU_0;0,2500;11862,00;13871,00;12496,40;10;23574,82
TAU_0;0,5000;11596,00;13497,00;12704,50;10;25687,97
TAU_0;0,7500;11391,00;13431,00;12679,10;10;23257,89
