=== Tuning Experiment 1 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-27 23:05:27;;;;;;;
Initial parameters:;;;;;;;
ALPHA=1,5000;BETA=1,0000;RHO=0,8000;Q=250,00;TAU_0=0,0010;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500
P_0;0,025;11907;13757;12775,2;10;7665,67;
P_0;0,05;11079;14052;13005,2;10;7821,66;
P_0;0,1;11857;13746;13008,9;10;7893,4;
P_0;0,2;11978;14426;13122,7;10;8069,69;
P_0;0,3;11167;14980;13174,5;10;7966,01;
NUM_ANTS;30;11845;14527;13255,8;10;2810,27;
NUM_ANTS;40;11596;14823;13207,1;10;3048,76;
NUM_ANTS;50;11907;14240;12786,3;10;3770,41;
NUM_ANTS;75;11691;14191;12670,8;10;5521,44;
NUM_ANTS;100;11907;14046;12967,2;10;7397,93;
NUM_ANTS;150;11907;14327;12776,8;10;10775,91;
Q;10;11869;14223;13056,1;10;5680,61;
Q;50;11907;14383;12901,9;10;5706,39;
Q;100;11731;13828;12847,1;10;5693,25;
Q;250;12068;14383;13455,1;10;5709,46;
Q;500;11691;14506;13365,8;10;5685,3;
Q;750;11869;14617;13152,1;10;5669,34;
Q;1000;11596;13995;12838,3;10;5714,97;
Q;1500;11691;14121;12820,2;10;5833,86;
RHO;0,1;11788;14942;13101,9;10;6444,52;
RHO;0,3;11916;13429;12718,7;10;5701,58;
RHO;0,5;11907;14510;13428,1;10;5717,26;
RHO;0,6;11916;14565;13095,7;10;5736,01;
RHO;0,7;11947;14519;13233,1;10;5764,16;
RHO;0,75;11907;14483;12886,2;10;5706,05;
RHO;0,8;12042;14951;13166,1;10;5737,09;
RHO;0,85;11596;14602;12855,1;10;5733,27;
RHO;0,9;11596;14119;12924,7;10;5776,75;
TAU_0;0,001;11797;14464;13248,5;10;5708,49;
TAU_0;0,01;12167;13895;13061,8;10;5773,58;
TAU_0;0,1;12068;14083;12831,3;10;5738,63;
TAU_0;0,25;11340;14451;12545,1;10;5789,05;
TAU_0;0,5;11907;13895;12787,2;10;5721,5;
TAU_0;0,75;11605;14464;12521,1;10;5757,77;
TAU_0;1;11907;14377;13019,9;10;5758,49;
;;;;;;;
=== Best Configuration Found ===;;;;;;;
ALPHA=1,5000;BETA=1,5000;RHO=0,3000;Q=1500,00;;;;
TAU_0=0,7500;P_0=0,0100;NUM_ANTS=75;MAX_ITERATIONS=1500;;;;
;;;;;;;
;;;;;;;
=== Tuning Experiment 5 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-28 03:03:35;;;;;;;
Initial parameters:;;;;;;;
ALPHA=1,5000;BETA=1,5000;RHO=0,3000;Q=1500,00;TAU_0=0,7500;P_0=0,0100;NUM_ANTS=75;MAX_ITERATIONS=1500
;;;;;;;
ALPHA;0,001;12068;14348;13169,9;10;5696,03;
ALPHA;0,01;11907;14464;13184,6;10;5699,46;
ALPHA;0,1;11596;13554;12515,6;10;5661,4;
ALPHA;0,3;11907;14323;12862,4;10;5686,25;
ALPHA;0,5;12459;14547;13418,9;10;5304,25;
ALPHA;0,7;11084;14040;12526,2;10;5670,97;
ALPHA;1;11535;14322;12946,2;10;5698,26;
ALPHA;1,5;11907;12832;12333,7;10;5718,49;
BETA;0,5;11909;14232;12784,5;10;5367,2;
BETA;0,75;11907;14003;12995,8;10;5641,81;
BETA;1;12459;14103;13157,1;10;5760,08;
BETA;1,5;11828;14318;12662,6;10;5668,58;
BETA;2;11596;13965;12831,4;10;5308,68;
BETA;3;11878;14323;12846,1;10;5708,27;
BETA;4;11207;14383;12750,8;10;5724,29;
BETA;5;11907;14069;12888,8;10;5691,18;
BETA;10;11947;14838;13862;10;5799,84;
P_0;0,01;11731;13627;12857,3;10;7623,09;
P_0;0,025;11907;14320;13087,7;10;7962,5;
P_0;0,05;11907;14021;13221,6;10;6222,43;
P_0;0,1;11134;13179;12364,9;10;6915,84;
P_0;0,2;11569;13973;13305,6;10;9022,4;
P_0;0,3;12330;15399;13587,5;10;6077,4;
NUM_ANTS;30;11310;13776;12588,2;10;2781,33;
NUM_ANTS;40;11802;13948;13209,8;10;3168,78;
NUM_ANTS;50;11771;13798;12961,8;10;4078;
NUM_ANTS;75;11242;14053;12620,8;10;5847,41;
NUM_ANTS;100;11904;13992;12580,8;10;7740,79;
NUM_ANTS;150;11596;13785;12950,8;10;11502,42;
Q;10;12088;13387;12917,7;10;7928,11;
Q;50;11486;14008;12873,5;10;8049,28;
Q;100;10952;13869;12610,9;10;8056,23;
Q;250;11857;13425;12709,1;10;7923,29;
Q;500;11025;13571;12472,6;10;7963,06;
Q;750;12111;13720;13024,6;10;7945,62;
Q;1000;10980;13514;12490,2;10;7963,62;
Q;1500;11182;13091;12217,4;10;8061,51;
RHO;0,1;11093;13614;12580,3;10;8003,21;
RHO;0,3;12014;14003;12978,4;10;8023,64;
RHO;0,5;12268;13628;12829,5;10;7995,32;
RHO;0,6;11575;13716;12772;10;7912,31;
RHO;0,7;11368;13724;12727,2;10;7972,75;
RHO;0,75;11605;13652;12813,4;10;7940,87;
RHO;0,8;12528;14003;13008,6;10;8001,93;
RHO;0,85;11797;13786;12933,1;10;7952,3;
RHO;0,9;11207;13694;12692,4;10;8044,08;
TAU_0;0,001;12336;13990;13092,1;10;8009,08;
TAU_0;0,01;11056;13502;12616,8;10;8736,59;
TAU_0;0,1;11717;13599;12609,6;10;7955,36;
TAU_0;0,25;11912;13744;13139,6;10;7930,42;
TAU_0;0,5;11269;13513;12817,4;10;7958,62;
TAU_0;0,75;11455;14057;12492,7;10;7924,41;
TAU_0;1;11039;13098;12271,3;10;7973,68;
;;;;;;;
=== Best Configuration Found ===;;;;;;;
ALPHA=1,5000;BETA=1,5000;RHO=0,1000;Q=1500,00;;;;
TAU_0=1,0000;P_0=0,1000;NUM_ANTS=100;MAX_ITERATIONS=1500;;;;
;;;;;;;
;;;;;;;
=== Tuning Experiment 1 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-28 05:36:38;;;;;;;
Initial parameters:;;;;;;;
ALPHA=0,5000;BETA=10,0000;RHO=0,5000;Q=250,00;TAU_0=0,0100;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=1500
;;;;;;;
ALPHA;0,001;11056;14122;12696,1;10;3516,51;
ALPHA;0,01;11733;13507;12760,9;10;3500,37;
ALPHA;0,1;11743;13946;13060,2;10;3499,65;
ALPHA;0,3;12420;13832;13017;10;3542,4;
ALPHA;0,5;11084;13683;12661,3;10;3278,98;
ALPHA;0,7;11848;14228;13117,6;10;3514,92;
ALPHA;1;11079;13853;12626;10;3707,4;
ALPHA;1,5;12061;13828;13143,7;10;3493,05;
BETA;0,5;11349;14192;13082,8;10;3274,53;
BETA;0,75;11177;13359;12236,9;10;3462,48;
BETA;1;11904;14384;13006,8;10;3472,75;
BETA;1,5;11591;13436;12888,2;10;3469,99;
BETA;2;13232;14136;13588,5;10;3465,74;
BETA;3;10822;13968;12584,6;10;3534,36;
BETA;4;11302;13431;12706,7;10;3474,57;
BETA;5;11184;13832;12652,3;10;3460,96;
BETA;10;12145;14261;13091,4;10;3506,48;
P_0;0,01;11596;13427;12834;10;3323,58;
P_0;0,025;11916;13959;13000,9;10;3322,92;
P_0;0,05;11691;13731;13096,9;10;3414,92;
P_0;0,1;11286;14014;12828,6;10;3446,48;
P_0;0,2;11663;14562;13279,7;10;3489,21;
P_0;0,3;12072;15120;13624,3;10;3500,02;
NUM_ANTS;30;12150;14203;13136,2;10;2845,9;
NUM_ANTS;40;11962;14043;12975,9;10;3448,17;
NUM_ANTS;50;12218;14338;13042,3;10;4281,74;
NUM_ANTS;75;11072;13742;12439,4;10;6167,59;
NUM_ANTS;100;11432;13639;12577,3;10;8194,56;
NUM_ANTS;150;11947;13685;12769,5;10;11967,36;
Q;10;11619;13819;13049;10;6354,27;
Q;50;11188;13731;12313,5;10;6561,04;
Q;100;11907;13658;12720,9;10;7693,73;
Q;250;12235;13796;12696,7;10;6296,25;
Q;500;12167;13798;13115,9;10;6266,08;
Q;750;11117;13906;12697,5;10;6284,52;
Q;1000;12255;13903;12975,5;10;6426,7;
Q;1500;12082;13982;12945,5;10;6265,84;
RHO;0,1;11319;13301;12383,1;10;6267,64;
RHO;0,3;12453;13997;13206,2;10;6320,4;
RHO;0,5;11094;13427;12495,4;10;6389,25;
RHO;0,6;12049;14003;13154,6;10;6345,44;
RHO;0,7;11596;13612;12854,4;10;6295,65;
RHO;0,75;11849;13726;12792,8;10;6219,89;
RHO;0,8;11175;13829;12698,6;10;6258,44;
RHO;0,85;11445;14121;12666,4;10;6313,65;
;;;;;;;
=== Tuning Experiment 1 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-28 19:39:33;;;;;;;
Initial parameters:;;;;;;;
ALPHA=0,1000;BETA=10,0000;RHO=0,6000;Q=100,00;TAU_0=1,0000;P_0=0,0250;NUM_ANTS=100;MAX_ITERATIONS=1500
;;;;;;;
ALPHA;0,001;11349;13495;12621,7;10;9233;
ALPHA;0,01;12068;14003;13244,2;10;7962,58;
ALPHA;0,1;11916;13427;12801;10;8036,05;
ALPHA;0,3;11735;13633;12872,7;10;8348,28;
ALPHA;0,5;11919;13409;12789,7;10;7701,34;
ALPHA;0,7;11907;14128;12859,7;10;8950,33;
ALPHA;1;11907;13791;12783,3;10;9383,52;
ALPHA;1,5;11700;13840;12914,8;10;9943,94;
BETA;0,5;12270;13853;13261,4;10;8888,67;
BETA;0,75;11691;13976;12774,3;10;8562,79;
BETA;1;12459;14125;13329,2;10;8522,66;
BETA;1,5;11596;13630;12641,4;10;10662,01;
BETA;2;12150;14159;13012,3;10;9422,42;
BETA;3;11639;13802;12875,3;10;9048,32;
BETA;4;12323;13739;12882,5;10;9427,39;
BETA;5;11691;13305;12462,1;10;9285,59;
BETA;10;12453;13427;13009,7;10;9099,76;
P_0;0,01;11596;13409;12420,2;10;8618,93;
P_0;0,025;11691;13798;12975,1;10;9359,04;
P_0;0,05;11907;13427;12584,4;10;9346,77;
P_0;0,1;12212;13838;12895,5;10;9119,35;
P_0;0,2;11110;14428;13185,7;10;9459,72;
P_0;0,3;12532;14725;13593,9;10;9016,79;
NUM_ANTS;30;11605;14272;12734,1;10;3459,16;
NUM_ANTS;40;11596;14459;12897,7;10;3442,66;
NUM_ANTS;50;11691;14072;13097,2;10;4286,9;
NUM_ANTS;75;11700;14372;13130,3;10;6056,4;
NUM_ANTS;100;11236;13959;12854,6;10;7969,34;
NUM_ANTS;150;11907;14176;12646,2;10;11919,25;
Q;10;11907;14384;13346,3;10;11704,01;
Q;50;11596;14268;12856;10;11529,82;
Q;100;11492;13691;12508,3;10;11150,36;
Q;250;11797;14323;12893,6;10;11690,26;
Q;500;11691;14439;13188,2;10;11418,82;
Q;750;11907;14029;12736,5;10;11193,06;
Q;1000;11691;14098;13051,2;10;11260,55;
Q;1500;11916;14383;13080;10;11946,22;
RHO;0,1;11829;14400;13039,7;10;12177,93;
RHO;0,3;11612;14207;12686,9;10;12828,03;
RHO;0,5;11700;14098;12704,1;10;11328,63;
RHO;0,6;11907;14323;13220,9;10;11121,33;
RHO;0,7;11907;14377;12788,8;10;11041,31;
RHO;0,75;11596;14288;12429,8;10;11025,04;
RHO;0,8;11907;14000;12728,3;10;11076,11;
RHO;0,85;11166;13959;12761,1;10;11107,67;
RHO;0,9;11691;13301;12635,6;10;11025,18;
TAU_0;0,001;11596;14320;12962,2;10;11063,4;
TAU_0;0,01;11605;14077;13060,2;10;11038,21;
TAU_0;0,1;11907;14046;12886,3;10;11247,21;
TAU_0;0,25;11691;13930;12724,1;10;11137,38;
TAU_0;0,5;11605;13995;12784,6;10;11129,85;
TAU_0;0,75;11788;14003;12986,5;10;11085,22;
TAU_0;1;11700;12927;12456,9;10;11288;
MAX_ITERATIONS;500;11691;14452;12888,4;10;4600,06;
MAX_ITERATIONS;750;11691;13396;12297,3;10;5561,04;
MAX_ITERATIONS;1000;11907;14011;12793,8;10;7389,65;
MAX_ITERATIONS;1500;11596;14301;12744,2;10;10754,53;
MAX_ITERATIONS;2000;11907;13977;12933,4;10;14450,17;
MAX_ITERATIONS;3000;11797;14271;12937,7;10;21088,73;
;;;;;;;
=== Best Configuration Found ===;;;;;;;
ALPHA=0,0010;BETA=5,0000;RHO=0,7500;Q=100,00;;;;
TAU_0=1,0000;P_0=0,0100;NUM_ANTS=150;MAX_ITERATIONS=750;;;;
;;;;;;;
;;;;;;;
=== Tuning Experiment 2 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-28 21:20:55;;;;;;;
Initial parameters:;;;;;;;
ALPHA=0,0010;BETA=5,0000;RHO=0,7500;Q=100,00;TAU_0=1,0000;P_0=0,0100;NUM_ANTS=150;MAX_ITERATIONS=750
;;;;;;;
ALPHA;0,001;11596;13888;12739,6;10;5772,47;
ALPHA;0,01;11691;13930;12438,2;10;5731,78;
ALPHA;0,1;11596;14784;12997,7;10;5784,73;
ALPHA;0,3;11788;14002;12658,9;10;5759,79;
ALPHA;0,5;11907;14227;12934,7;10;5367,26;
ALPHA;0,7;12042;14492;13051,9;10;5725,34;
ALPHA;1;11596;14046;12452,9;10;5759,01;
ALPHA;1,5;11691;14099;12695,6;10;5853,9;
BETA;0,5;12167;14923;12853,7;10;5366,36;
BETA;0,75;11731;13674;12618,7;10;5720,31;
BETA;1;11797;14923;13165,5;10;5737,02;
BETA;1,5;11596;13409;12507,8;10;5825,15;
